epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.6969,1.3289,1.83545,1.21778,0.94371,0.86042,0.93151,0.54547,1.34007,1.36258,1.26098,0.00066464,0.00066464,0.00066464
2,172.473,1.34363,1.10306,1.22632,0.86593,0.91181,0.92527,0.53439,1.33247,1.02255,1.26124,0.00129836,0.00129836,0.00129836
3,253.304,1.33314,0.97628,1.23831,0.83966,0.74931,0.80833,0.44381,1.54999,1.14537,1.51487,0.00189907,0.00189907,0.00189907
4,333.83,1.2888,0.91523,1.21804,0.93082,0.92499,0.9639,0.61745,1.2091,0.77203,1.17414,0.0018515,0.0018515,0.0018515
5,413.308,1.24891,0.82329,1.18896,0.94374,0.94236,0.97672,0.64143,1.16083,0.73341,1.12533,0.001802,0.001802,0.001802
6,493.995,1.23011,0.78343,1.18074,0.95256,0.9622,0.98133,0.66215,1.12225,0.65076,1.13199,0.0017525,0.0017525,0.0017525
7,574.066,1.19634,0.74794,1.16472,0.97136,0.96582,0.982,0.6393,1.18365,0.63846,1.14261,0.001703,0.001703,0.001703
8,652.86,1.18485,0.73595,1.16595,0.97526,0.94167,0.97783,0.66904,1.10604,0.60538,1.12402,0.0016535,0.0016535,0.0016535
9,731.908,1.16418,0.71622,1.1575,0.97294,0.96042,0.98277,0.68879,1.0798,0.58449,1.11916,0.001604,0.001604,0.001604
10,811.047,1.12609,0.67312,1.13093,0.96779,0.96806,0.98493,0.6868,1.08141,0.55554,1.0975,0.0015545,0.0015545,0.0015545
11,891.677,1.11239,0.65291,1.13215,0.96648,0.96113,0.98297,0.70945,1.07083,0.54008,1.09086,0.001505,0.001505,0.001505
12,971.435,1.10914,0.64697,1.12587,0.97103,0.96667,0.98293,0.68631,1.0574,0.56089,1.0976,0.0014555,0.0014555,0.0014555
13,1050.52,1.06863,0.62918,1.1088,0.98368,0.96285,0.98413,0.7006,1.07076,0.53178,1.11166,0.001406,0.001406,0.001406
14,1129.24,1.06254,0.61133,1.10364,0.97232,0.96875,0.98426,0.7116,1.01491,0.51975,1.06437,0.0013565,0.0013565,0.0013565
15,1208.54,1.0499,0.5956,1.0995,0.98873,0.97083,0.9877,0.73072,0.99967,0.48597,1.06457,0.001307,0.001307,0.001307
16,1287.19,1.04279,0.59164,1.0961,0.98112,0.97454,0.9887,0.72579,1.01059,0.4835,1.07279,0.0012575,0.0012575,0.0012575
17,1366.19,1.0475,0.58844,1.09863,0.97825,0.9625,0.98857,0.72765,0.99731,0.48387,1.06761,0.001208,0.001208,0.001208
18,1444.95,1.02702,0.5811,1.08829,0.98614,0.975,0.99271,0.73387,0.99609,0.46733,1.06287,0.0011585,0.0011585,0.0011585
19,1524.34,1.02682,0.56458,1.08488,0.98316,0.97309,0.98802,0.73107,0.98869,0.48248,1.05953,0.001109,0.001109,0.001109
20,1603.36,1.00676,0.55837,1.08238,0.9687,0.9672,0.98848,0.73496,0.99235,0.47381,1.0524,0.0010595,0.0010595,0.0010595
21,1682.67,1.01755,0.55471,1.08534,0.98395,0.97708,0.99145,0.74263,0.96412,0.45111,1.04802,0.00101,0.00101,0.00101
22,1762.81,0.99776,0.54623,1.07435,0.97431,0.97456,0.98784,0.7372,0.96872,0.45674,1.05382,0.0009605,0.0009605,0.0009605
23,1842.17,1.0036,0.54514,1.07548,0.98806,0.9773,0.99163,0.74749,0.95238,0.44181,1.03994,0.000911,0.000911,0.000911
24,1921.25,0.99037,0.53018,1.06438,0.98791,0.97361,0.99104,0.74374,0.96097,0.43543,1.04245,0.0008615,0.0008615,0.0008615
25,2000.16,0.98588,0.53369,1.06754,0.98711,0.97222,0.98853,0.74558,0.9524,0.43512,1.03572,0.000812,0.000812,0.000812
26,2080.27,0.96072,0.5126,1.05886,0.98838,0.97778,0.99334,0.76167,0.93805,0.41443,1.03246,0.0007625,0.0007625,0.0007625
27,2158.92,0.9454,0.4993,1.04822,0.98889,0.97917,0.9927,0.76027,0.93716,0.41987,1.03166,0.000713,0.000713,0.000713
28,2237.57,0.96414,0.50477,1.05253,0.98671,0.97988,0.99197,0.7638,0.93455,0.41068,1.02053,0.0006635,0.0006635,0.0006635
29,2317.46,0.94875,0.49265,1.05288,0.98947,0.97839,0.99278,0.76355,0.92425,0.41131,1.01949,0.000614,0.000614,0.000614
30,2396.73,0.94544,0.4914,1.04839,0.9891,0.98056,0.99384,0.77026,0.92231,0.4026,1.01699,0.0005645,0.0005645,0.0005645
31,2502.88,0.9118,0.41751,1.02168,0.98876,0.97702,0.99161,0.76355,0.91214,0.40789,1.02277,0.000515,0.000515,0.000515
32,2581.44,0.90259,0.40745,1.01811,0.98956,0.97778,0.9926,0.77128,0.9295,0.40822,1.02201,0.0004655,0.0004655,0.0004655
33,2659.85,0.88401,0.39812,1.01066,0.98744,0.9826,0.9934,0.77574,0.90258,0.39119,1.02195,0.000416,0.000416,0.000416
34,2738.57,0.87925,0.39085,1.01462,0.99553,0.97292,0.99346,0.78275,0.89373,0.38384,1.00971,0.0003665,0.0003665,0.0003665
35,2817.64,0.86783,0.38446,1.00308,0.99584,0.97708,0.99319,0.78454,0.88187,0.38136,1.00378,0.000317,0.000317,0.000317
